Strategy,Model,rho_final_mean,rho_final_std
Random,SIR,0.8784,0.0119
Random,SIS,0.6439,0.0027
Random,BP,0.9225,0.0071
Random,WTM,0.891,0.0943
Random,H1,0.9489,0.009
Random,H2,0.9255,0.0076
Random,H3,0.9878,0.0063
Random,H4,0.8501,0.002
Random,H5,0.8257,0.0207
Random,H6,0.649,0.0051
High Degree,SIR,0.8619,0.013
High Degree,SIS,0.6368,0.0031
High Degree,BP,0.6767,0.0
High Degree,WTM,0.9938,0.0
High Degree,H1,0.9318,0.0122
High Degree,H2,0.9058,0.0081
High Degree,H3,0.9816,0.0092
High Degree,H4,0.8508,0.0016
High Degree,H5,0.7879,0.0415
High Degree,H6,0.663,0.0046
High K-Core,SIR,0.8259,0.0355
High K-Core,SIS,0.5205,0.0138
High K-Core,BP,0.6762,0.0
High K-Core,WTM,0.1872,0.0
High K-Core,H1,0.9254,0.0339
High K-Core,H2,0.6801,0.0138
High K-Core,H3,0.9681,0.024
High K-Core,H4,0.7228,0.0173
High K-Core,H5,0.2137,0.0978
High K-Core,H6,0.4741,0.0394
